	09:00	13:00	14:00
2020-11-02			wert
2020-11-03		cnglint	
2020-11-04	rem	bsys	
2020-11-05	abwl	abwl	
2020-11-06		prog	
2020-11-07			
2020-11-08			
2020-11-09			wert
2020-11-10		ma	
2020-11-11		bsys	
2020-11-12	cnglint		
2020-11-13	prog		wert
2020-11-14			
2020-11-15			
2020-11-16	abwl	abwl	
2020-11-17	bsys	alg	
2020-11-18	ma	ma	
2020-11-19	rem		
2020-11-20	cnglint	prog	
2020-11-21			
2020-11-22			
2020-11-23	ma	ma	
2020-11-24	prog		
2020-11-25	inf	inf	
2020-11-26	abwl	abwl	
2020-11-27	cnglint	prog	
2020-11-28			
2020-11-29			
2020-11-30	rem	ma	
2020-12-01	prog	inf	
2020-12-02	inf	ma	
2020-12-03	we	we	
2020-12-04	cnglint	prog	
2020-12-05			
2020-12-06			
2020-12-07	me	ma	
2020-12-08	inf	ma	
2020-12-09	inf	alg	
2020-12-10	we	we	
2020-12-11	cnglint	prog	
2020-12-12			
2020-12-13			
2020-12-14	inf	me	
2020-12-15			
2020-12-16		ma	
2020-12-17	we	we	
2020-12-18		prog	
2020-12-19			
2020-12-20			
2020-12-21			
2020-12-22			
2020-12-23			
2020-12-24			
2020-12-25			
2020-12-26			
2020-12-27			
2020-12-28			
2020-12-29			
2020-12-30			
2020-12-31			
2021-01-01			
2021-01-02			
2021-01-03			
2021-01-04	wissar	wissar	
2021-01-05		alg	
2021-01-06			
2021-01-07	we	we	
2021-01-08		alg	
2021-01-09			
2021-01-10			
2021-01-11	alg	me	
2021-01-12		ma	
2021-01-13		ma	
2021-01-14	we	we	
2021-01-15			
2021-01-16			
2021-01-17			
2021-01-18			
2021-01-19			
2021-01-20			
2021-01-21			
2021-01-22			
2021-01-23			
2021-01-24			
2021-01-25			
2021-01-26			